ENTITY_ID;NAME;TYPE;SITE;CANTON;MAX_WATER_VOLUME_M3_S;MAX_POWER_MW;START_OF_OPERATION_FIRST;START_OF_OPERATION_LAST;LATITUDE;LONGITUDE;STATUS;WATERBODIES;IMAGE_URL
202450;Moosweid;L;Adelboden, Moosweid;BE;0.15;0.36;1903;2014;46.49609689;7.57684089;im Normalbetrieb;Ahorniquellen, Louenenbach;
202475;Engstlige;L;Adelboden;BE;1.5;0.5;1996;1996;46.50688433;7.58273119;im Normalbetrieb;Engstlige;
202520;Färmelbach, St. Stephan;L;St. Stephan, Matten;BE;0.9;1.75;2016;-1;46.49447016;7.41962014;im Normalbetrieb;Albristbach, Färmelbach;
202530;KW Simelemoos;L;St. Stephan;BE;9.5;0.35;2016;-1;46.50472131;7.403462;im Normalbetrieb;Simme;
202550;Laubegg (Garstatt);L;Boltigen, Garstatt;BE;12.0;2.6;2016;-1;46.58810144;7.3812263;im Normalbetrieb;Simme;
202560;Berner Green Power GmbH;L;Weissenburg;BE;0.9;0.36;1898;1999;46.66691411;7.46411781;im Normalbetrieb;Buuschebach;
202600;Klusi;S;Erlenbach;BE;0.18;1.3;1946;1996;46.66389573;7.54826301;im Normalbetrieb;Hinterstockensee, Oberstockensee;
202700;Erlenbach;L;Erlenbach;BE;6.4;18.0;1959;2005;46.65687935;7.54811813;im Normalbetrieb;Ägelsee, Filderich, Kirel;
202800;Simmenfluh;L;Simmenfluh (Wimmis);BE;22.0;9.0;1962;2000;46.6727955;7.62264035;im Normalbetrieb;Simme;
202900;AAREwerk 62 Thun;L;Thun;BE;125.0;6.2;1962;1962;46.76168567;7.61338795;im Normalbetrieb;Aare;
203000;AAREwerk 94 Thun;L;Thun;BE;49.65;2.8;1917;1994;46.76167485;7.6203256;im Normalbetrieb;Aare;
203100;Thun (Eidg.);L;Thun, Kanal (Uttigenstr.);BE;6.0;0.35;1901;1937;46.76159371;7.61469665;im Normalbetrieb;Aare, Gewerbekanal;
203200;Blumenstein;L;Blumenstein;BE;0.1;0.64;1918;1990;46.72770212;7.51333367;im Normalbetrieb;Quellgebiet Blattenheid;
203300;Matte;L;Bern, Matte;BE;40.0;1.16;1891;1986;46.94649212;7.45676344;im Normalbetrieb;Aare;
203350;Felsenau;L;Engehalde;BE;16.0;0.42;1998;1998;46.96583306;7.44468147;im Normalbetrieb;Aare;
203400;Felsenau;L;Felsenau;BE;100.0;11.5;1909;1989;46.96844182;7.43942564;im Normalbetrieb;Aare;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Kraftwerk_Bern-Felsenau.jpg/300px-Kraftwerk_Bern-Felsenau.jpg
203500;Mühleberg;L;Buttenried;BE;291.0;40.0;1920;1965;46.96914778;7.28449931;im Normalbetrieb;Aare, Wohlensee;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Wohlensee_Hinterkappelen.jpg/300px-Wohlensee_Hinterkappelen.jpg
203600;Sanetsch;S;Innergsteig;BE;2.5;18.0;1966;1966;46.37642539;7.27799307;im Normalbetrieb;Saane, Speicher Sanetsch;
